epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.20576666666666657,10.469845819416834,0.001,0.276,5.5318662064197675
2,0.26996666666666674,2.4061867027486157,0.001,0.314,3.9359500839016897
3,0.33099999999999996,2.1409356359153877,0.001,0.322,3.4412727163483514
4,0.37376666666666675,1.9775839375324364,0.001,0.364,3.3382004970819747
5,0.40733333333333344,1.8514695067573987,0.001,0.378,2.7832448065095354
6,0.4424333333333334,1.7328619106424403,0.001,0.344,3.2572171785822466
7,0.4755666666666664,1.6142737599586183,0.001,0.388,3.0968889796803767
8,0.5039666666666668,1.5216862626299257,0.001,0.38,3.436279598455778
9,0.5355666666666667,1.4216284063218132,0.001,0.416,3.4059204137850028
10,0.5591000000000003,1.338884369289757,0.001,0.36,3.582635982213943
11,0.5842666666666669,1.2484284948202373,0.001,0.366,3.923254313698525
12,0.6114666666666667,1.174167162104527,0.001,0.35,3.8054804226184316
13,0.6380666666666666,1.079654461887938,0.001,0.376,4.309412002228782
14,0.6571333333333333,1.0161160420418829,0.001,0.362,4.78938723144967
15,0.6830666666666668,0.9434565351825196,0.001,0.328,4.735517221426307
16,0.7058333333333335,0.8685079310224094,0.001,0.338,4.931957488343597
17,0.7312000000000002,0.7867159051570869,0.001,0.348,5.045497041101439
18,0.7484333333333332,0.7348267991418482,0.001,0.376,5.032896944333854
19,0.7582999999999999,0.70702756621805,0.001,0.378,4.8665433140673855
20,0.8269999999999997,0.49468013473489103,0.0005,0.354,5.538018959740661
21,0.8473666666666668,0.43827054013478345,0.0005,0.356,5.480845363281851
22,0.85,0.4301467789419157,0.0005,0.346,5.9259532487243405
23,0.8684000000000003,0.38163793722318246,0.0005,0.322,6.280132980858124
24,0.8715333333333328,0.3741658859641391,0.0005,0.392,5.766387242199214
25,0.8784666666666667,0.3542985264332234,0.0005,0.348,6.489363204707412
26,0.8924999999999996,0.31277562062063924,0.0005,0.386,6.104438725693506
27,0.8888666666666667,0.3180034173284352,0.0005,0.368,6.079221105098521
28,0.8865666666666671,0.326993619302252,0.0005,0.292,7.350875377754427
29,0.9024666666666665,0.27542953059334074,0.0005,0.318,7.139570206153433
30,0.9068666666666665,0.2652891882057842,0.0005,0.362,7.22663450023782
31,0.908466666666667,0.261198144051403,0.0005,0.358,6.8859747808912095
32,0.917533333333333,0.23800543594845242,0.0005,0.284,7.719275384509401
33,0.9206,0.22514408907461164,0.0005,0.306,8.120077340083833
34,0.9219666666666667,0.226645526226843,0.0005,0.326,8.005352859872215
35,0.9274333333333331,0.20967110070906902,0.0005,0.338,7.927771540680085
36,0.9314333333333329,0.2005671620892105,0.0005,0.374,7.846379991572681
37,0.9348333333333333,0.18600908694753537,0.0005,0.35,8.21641722651022
38,0.9409000000000002,0.1762961885730695,0.0005,0.328,7.714112985199766
39,0.9396,0.175868270301196,0.0005,0.32,8.572961982490142
40,0.9613333333333334,0.11350241329642068,0.00025,0.298,8.788121879832765
