epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.16263333333333344,12.303105127780741,0.001,0.374,1.6118512404112992
2,0.18610000000000007,2.742843542316562,0.001,0.45,1.3360435720719
3,0.2106000000000001,2.6309530828421854,0.001,0.458,1.3329215036449718
4,0.23253333333333326,2.5340641810425875,0.001,0.486,1.2883423168627754
5,0.25126666666666675,2.474778834488978,0.001,0.5,1.2651763086712084
6,0.26653333333333334,2.4097984748238734,0.001,0.5,1.2624409939142693
7,0.28633333333333344,2.365924367191634,0.001,0.496,1.2429149042254921
8,0.28666666666666674,2.352333775652947,0.001,0.522,1.1693049216502651
9,0.2999333333333334,2.312670901566031,0.001,0.518,1.2421852386167163
10,0.29760000000000003,2.3124186886766274,0.001,0.504,1.2342317498295052
11,0.31213333333333343,2.265020461908269,0.001,0.546,1.1835122063716175
12,0.32049999999999995,2.2451141666427574,0.001,0.52,1.2048447043562398
13,0.32683333333333336,2.2132399040459134,0.001,0.542,1.1334617463649237
14,0.33449999999999996,2.19368843669274,0.001,0.528,1.2066738805078743
15,0.32636666666666664,2.1984268313596522,0.001,0.554,1.2000805076640433
16,0.3384000000000001,2.1749526265599157,0.001,0.598,1.0093690990705069
17,0.34129999999999994,2.161798200670896,0.001,0.576,1.0801212576102248
18,0.35376666666666673,2.125780731505696,0.001,0.582,1.1192693222854728
19,0.3531333333333335,2.1174786494815305,0.001,0.562,1.1222312967111583
20,0.35320000000000007,2.1255576826260127,0.001,0.604,1.0519434852393108
21,0.35363333333333336,2.112474066396183,0.001,0.528,1.168925204604534
22,0.36039999999999994,2.0959671138152056,0.001,0.56,1.0894785491942323
23,0.37016666666666653,2.068652381098227,0.001,0.582,1.0697320453256294
24,0.36650000000000005,2.0739094799896813,0.001,0.564,1.094651392045656
25,0.3625333333333332,2.088951911802916,0.001,0.588,1.0802285401998541
26,0.3711333333333332,2.0494377547223923,0.001,0.576,1.1030604710306209
27,0.3777000000000001,2.036710607414925,0.001,0.588,1.0661724563325852
28,0.37706666666666666,2.0175676573343053,0.001,0.582,1.0466151424920906
29,0.3829666666666668,2.0200013165448683,0.001,0.578,1.0880954646407148
30,0.38349999999999995,2.0088358311242653,0.001,0.548,1.072919875647058
31,0.3863666666666666,2.0008556954628505,0.001,0.578,1.094497009354039
32,0.3789000000000001,2.0050507251416936,0.001,0.584,1.027376353633985
33,0.391,1.99506464494058,0.001,0.554,1.1049027323074594
34,0.3965333333333335,1.9547598807361002,0.001,0.59,1.035647380267488
35,0.3997666666666666,1.9500308070599763,0.001,0.576,1.0357611423073494
36,0.40519999999999995,1.9380312960842778,0.001,0.578,1.0421360400824775
37,0.4002000000000002,1.9437534362644866,0.001,0.592,1.0310388846642045
38,0.40623333333333334,1.9351555866131955,0.001,0.574,1.0642514325070118
39,0.4037333333333333,1.9361625958374222,0.001,0.596,1.0652594128952362
40,0.4231000000000001,1.8691605870988983,0.0005,0.568,1.0329821509957955
41,0.42866666666666675,1.8521798434090115,0.0005,0.592,1.0213545078368764
42,0.4219333333333333,1.8605309848912157,0.0005,0.616,1.018677474795917
43,0.4322999999999997,1.836815703227094,0.0005,0.628,1.0027631855954784
44,0.4214666666666665,1.8642185964157818,0.0005,0.58,1.0552353416485232
45,0.4354000000000001,1.817085635518628,0.0005,0.594,1.0406048042331932
46,0.4310333333333334,1.840624710175731,0.0005,0.6,0.994061976959557
47,0.4334999999999999,1.8307245216333903,0.0005,0.616,1.0000021915326005
48,0.4407,1.8059953342091404,0.0005,0.616,0.9655541056340193
49,0.4342333333333333,1.8274336337944839,0.0005,0.61,1.0051789252997305
50,0.43166666666666664,1.8300506497524527,0.0005,0.606,0.993392101430147
51,0.4321999999999999,1.834251809004842,0.0005,0.612,1.0892792192801806
52,0.4457666666666665,1.7945901514765379,0.0005,0.568,1.1736767370571615
53,0.4358999999999999,1.8176149597886408,0.0005,0.59,1.0564445224101855
54,0.4419333333333334,1.789743662706877,0.0005,0.626,0.9208924213018195
55,0.4477333333333333,1.792687432472845,0.0005,0.62,1.0071733599103523
56,0.45753333333333346,1.7530954332946282,0.0005,0.604,1.0118459549200045
57,0.4498333333333332,1.7743934837348565,0.0005,0.64,0.9317318207874781
58,0.45273333333333343,1.7562733354468312,0.0005,0.596,1.0329602865741367
59,0.4549,1.7670703298919446,0.0005,0.606,1.018822093963265
60,0.45080000000000003,1.7706369529416026,0.0005,0.614,1.0825123884856713
61,0.44893333333333324,1.7761271342631506,0.0005,0.586,1.0264385089364407
62,0.4595666666666667,1.738868673300886,0.0005,0.61,1.0174626527209978
63,0.4587333333333332,1.7456250099788904,0.0005,0.592,0.9735370090508779
64,0.45886666666666653,1.7487882803935255,0.0005,0.62,1.019767748477777
65,0.4566333333333332,1.7518304297823988,0.0005,0.588,1.0385241973937036
66,0.4520000000000002,1.7753672723369143,0.0005,0.638,0.9677511177539518
67,0.46096666666666664,1.733918396147829,0.0005,0.62,1.0185760457984876
68,0.45916666666666667,1.7339313181951532,0.0005,0.602,0.9658916909738029
69,0.4594666666666668,1.7333171706578827,0.0005,0.63,0.9977527498898333
70,0.4659333333333332,1.7262797171773965,0.0005,0.632,0.9859630284023878
71,0.46260000000000007,1.7327393826029027,0.0005,0.616,1.0366382229800493
72,0.4715333333333331,1.7099946608522283,0.0005,0.608,1.006416881499151
73,0.4736333333333335,1.6997915558243977,0.0005,0.622,0.9776631247702223
74,0.47480000000000017,1.6853919136383249,0.0005,0.602,1.0422669027189075
75,0.4815666666666666,1.674215869361189,0.0005,0.624,1.0201735283480762
76,0.4749333333333331,1.7018884232761402,0.0005,0.608,0.9658541868081465
77,0.4640333333333333,1.7274289068042634,0.0005,0.632,0.962338105598378
78,0.48279999999999973,1.6714772916439407,0.0005,0.622,0.9448653120066017
79,0.4834999999999999,1.6633773163986538,0.0005,0.62,0.9798599417249575
80,0.4888666666666666,1.6409022098973463,0.00025,0.616,0.9211031123251942
