epoch,categorical_accuracy,loss,lr,val_5-shot_5-way_acc,val_loss
1,0.899966666666667,0.3493752368054801,0.001,0.968,0.0882664645064645
2,0.962466666666667,0.12142286232889646,0.001,0.984,0.05783237322132837
3,0.972066666666667,0.08890031536684612,0.001,0.986,0.057504422505926134
4,0.9769,0.0724967328686183,0.001,0.994,0.0173099998293557
5,0.9785333333333333,0.07063906700113758,0.001,0.982,0.05537889200969797
6,0.9811666666666671,0.06068499042860607,0.001,0.994,0.02026834230758684
7,0.9824333333333339,0.05265088758665433,0.001,0.986,0.04239128183092569
8,0.983366666666667,0.051689563154434834,0.001,0.988,0.05386732481227483
9,0.9854333333333338,0.04595903662745769,0.001,0.988,0.032423327471910214
10,0.9872000000000001,0.04227694065934487,0.001,0.994,0.0178718091297941
11,0.9869333333333339,0.040639407847074954,0.001,0.992,0.012963963888937528
12,0.9877666666666672,0.037387224213915694,0.001,0.992,0.01966507075008758
13,0.9864666666666669,0.04174841147241871,0.001,0.99,0.036071728116089746
14,0.986233333333334,0.041123820723106316,0.001,0.998,0.010056074877133848
15,0.9874000000000004,0.039967717847882486,0.001,0.996,0.010852268508515358
16,0.9900000000000005,0.030847200348071264,0.001,0.994,0.015491021220603229
17,0.9881000000000006,0.0346111370865874,0.001,0.994,0.018826424922611232
18,0.9890333333333332,0.03228957919839715,0.001,0.984,0.06870122539812974
19,0.9904000000000004,0.031050360669248628,0.001,1.0,0.0038251407040768514
20,0.9897666666666673,0.030674987932828617,0.0005,0.996,0.019766424016183334
21,0.9882333333333332,0.030790927420630495,0.0005,0.996,0.009117211747204831
22,0.9919000000000007,0.024396701951714474,0.0005,0.998,0.0182964250468728
23,0.9883000000000003,0.03097178558430724,0.0005,0.998,0.03072822781185217
24,0.9909000000000008,0.02494162805849305,0.0005,0.986,0.042368974509049986
25,0.990933333333334,0.0247213918672308,0.0005,0.998,0.004900476920258114
26,0.9928333333333339,0.02276610197491935,0.0005,0.994,0.03130359033563519
27,0.9917000000000006,0.02589164253544911,0.0005,0.992,0.05188882612492664
28,0.9923666666666672,0.022482469543585407,0.0005,0.998,0.005867989808290843
29,0.9909666666666673,0.02573289256782883,0.0005,0.996,0.015940621942881456
30,0.9919666666666673,0.022613175914106512,0.0005,0.998,0.0063085058939219485
31,0.9929000000000009,0.020749905293592698,0.0005,0.992,0.04466608503944514
32,0.9907333333333337,0.026633312903977416,0.0005,0.994,0.012665075389923683
33,0.9917666666666676,0.023555488484261356,0.0005,0.996,0.022781979549661904
34,0.9897000000000007,0.027552960929713762,0.0005,0.994,0.018808111487140025
35,0.992766666666667,0.020365622498940184,0.0005,0.99,0.04971581369597179
36,0.9921333333333342,0.022446532832047734,0.0005,0.988,0.033510984849768645
37,0.991733333333334,0.023583094766258833,0.0005,0.994,0.012451793689708269
38,0.9925666666666676,0.02125111899645043,0.0005,0.996,0.09817374392910827
39,0.9930000000000005,0.020873737051502955,0.0005,0.994,0.03745950628425688
40,0.9930333333333337,0.01966691752056003,0.00025,0.998,0.00474991460538108
